similarity,score,length,gaps,name,chromosome
57.48,2283.000000000051,2500,2126,chr1_1000000,1
41.199999999999996,1546.399999999996,2500,2940,chr2_1000000,2
59.96,2465.400000000062,2500,2002,chr3_1000000,3
51.160000000000004,2002.6000000000658,2500,2442,chr4_1000000,4
85.39999999999999,4053.800000000033,2500,730,chr5_1000000,5
63.959999999999994,2675.8000000000525,2500,1802,chr6_1000000,6
60.64000000000001,2510.0000000000573,2500,1968,chr7_1000000,7
31.28,1038.4000000001813,2500,3436,chr8_1000000,8
53.28000000000001,1933.6000000000633,2500,2336,chr9_1000000,9
37.08,1331.400000000164,2500,3146,chr10_1000000,10
24.6,678.1999999999922,2500,3770,chr11_1000000,11
34.12,1159.0000000001567,2500,3294,chr12_1000000,12
95.24000000000001,4677.799999999994,2500,238,chr13_1000000,13
86.96000000000001,4103.600000000013,2500,652,chr14_1000000,14
83.91999999999999,3894.0000000000186,2500,804,chr15_1000000,15
59.760000000000005,2476.4000000000724,2500,2012,chr16_1000000,16
21.48,518.1999999999863,2500,3926,chr17_1000000,17
52.92,2080.600000000065,2500,2354,chr18_1000000,18
53.400000000000006,2071.400000000042,2500,2330,chr19_1000000,19
58.24,2348.0000000000537,2500,2088,chr20_1000000,20
65.0,2744.2000000000467,2500,1750,chr21_1000000,21
98.11999999999999,4860.200000000001,2500,94,chr22_1000000,22
65.36,2545.2000000000326,2500,1732,chrX_1000000,X
