similarity,score,length,gaps,name,chromosome
72.6,646.1999999999974,500,274,chr1_1000000,1
82.8,764.3999999999992,500,172,chr2_1000000,2
64.60000000000001,532.9999999999984,500,354,chr3_1000000,3
70.8,623.5999999999982,500,292,chr4_1000000,4
61.0,496.19999999999703,500,390,chr5_1000000,5
63.2,526.7999999999982,500,368,chr6_1000000,6
63.4,532.1999999999973,500,366,chr7_1000000,7
61.199999999999996,503.59999999999775,500,388,chr8_1000000,8
69.0,602.1999999999973,500,310,chr9_1000000,9
71.2,621.9999999999976,500,288,chr10_1000000,10
75.6,689.5999999999976,500,244,chr11_1000000,11
66.60000000000001,568.1999999999974,500,334,chr12_1000000,12
94.39999999999999,921.5999999999998,500,56,chr13_1000000,13
83.8,782.199999999999,500,162,chr14_1000000,14
60.8,501.59999999999786,500,392,chr15_1000000,15
64.60000000000001,547.399999999998,500,354,chr16_1000000,16
35.6,254.40000000000308,500,644,chr17_1000000,17
62.0,514.799999999998,500,380,chr18_1000000,18
63.2,530.3999999999978,500,368,chr19_1000000,19
68.8,603.1999999999965,500,312,chr20_1000000,20
82.6,763.7999999999992,500,174,chr21_1000000,21
86.4,807.9999999999997,500,136,chr22_1000000,22
47.0,378.99999999999903,500,530,chrX_1000000,X
