similarity,score,length,gaps,name,chromosome
60.08,2451.6000000000554,2500,1996,chr1_1000000,1
54.24,2240.8000000001407,2500,2288,chr2_1000000,2
65.08,2746.600000000042,2500,1746,chr3_1000000,3
61.56,2553.000000000063,2500,1922,chr4_1000000,4
85.24000000000001,4043.80000000003,2500,738,chr5_1000000,5
63.4,2647.4000000000538,2500,1830,chr6_1000000,6
61.6,2578.4000000000565,2500,1920,chr7_1000000,7
30.72,1002.0000000001536,2500,3464,chr8_1000000,8
56.36,2024.2000000000476,2500,2182,chr9_1000000,9
63.75999999999999,2672.0000000000546,2500,1812,chr10_1000000,10
64.52,2737.4000000000533,2500,1774,chr11_1000000,11
63.68000000000001,2660.000000000054,2500,1816,chr12_1000000,12
95.39999999999999,4690.199999999994,2500,230,chr13_1000000,13
84.2,3958.600000000022,2500,790,chr14_1000000,14
83.88,3891.4000000000187,2500,806,chr15_1000000,15
48.36,1785.0000000001014,2500,2582,chr16_1000000,16
21.52,520.3999999999862,2500,3924,chr17_1000000,17
52.559999999999995,2066.00000000008,2500,2372,chr18_1000000,18
49.96,1906.2000000000635,2500,2502,chr19_1000000,19
62.56,2602.000000000052,2500,1872,chr20_1000000,20
56.64,2282.400000000066,2500,2168,chr21_1000000,21
98.11999999999999,4860.200000000001,2500,94,chr22_1000000,22
65.60000000000001,2562.40000000003,2500,1720,chrX_1000000,X
