similarity,score,length,gaps,name,chromosome
59.0,2400.200000000054,2500,2050,chr1_1000000,1
41.199999999999996,1546.399999999996,2500,2940,chr2_1000000,2
64.88000000000001,2497.200000000013,2500,1756,chr3_1000000,3
55.2,2212.0000000000623,2500,2240,chr4_1000000,4
85.39999999999999,4053.800000000033,2500,730,chr5_1000000,5
63.75999999999999,2668.8000000000543,2500,1812,chr6_1000000,6
55.120000000000005,2195.200000000071,2500,2244,chr7_1000000,7
31.2,1033.200000000181,2500,3440,chr8_1000000,8
53.28000000000001,1933.6000000000633,2500,2336,chr9_1000000,9
34.64,1206.7999999999597,2500,3268,chr10_1000000,10
24.6,678.1999999999922,2500,3770,chr11_1000000,11
34.239999999999995,1163.6000000001554,2500,3288,chr12_1000000,12
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,13
86.96000000000001,4103.600000000013,2500,652,chr14_1000000,14
83.91999999999999,3894.0000000000186,2500,804,chr15_1000000,15
60.160000000000004,2462.4000000000656,2500,1992,chr16_1000000,16
21.6,527.199999999986,2500,3920,chr17_1000000,17
54.400000000000006,2153.6000000000627,2500,2280,chr18_1000000,18
57.28,2290.0000000000464,2500,2136,chr19_1000000,19
58.199999999999996,2346.600000000054,2500,2090,chr20_1000000,20
63.12,2605.6000000000436,2500,1844,chr21_1000000,21
98.11999999999999,4860.200000000001,2500,94,chr22_1000000,22
65.36,2545.2000000000326,2500,1732,chrX_1000000,X
