similarity,score,length,gaps,name,cenp_b_box_detected,chromosome
56.92,2310.2000000000676,2500,2154,chr1,0,1
55.84,2156.0000000000573,2500,2208,chr2,0,2
64.44,2687.8000000000475,2500,1778,chr3,0,3
62.44,2599.00000000005,2500,1878,chr4,0,4
62.4,2593.6000000000513,2500,1880,chr5,0,5
64.84,2727.800000000045,2500,1758,chr6,0,6
64.0,2593.2000000000344,2500,1800,chr7,0,7
49.519999999999996,1785.6000000000718,2500,2524,chr8,0,8
63.959999999999994,2680.600000000053,2500,1802,chr9,0,9
48.64,2017.6000000001964,2500,2568,chr10,0,10
66.28,2825.4000000000465,2500,1686,chr11,0,11
52.080000000000005,1974.4000000000592,2500,2396,chr12,0,12
85.08,3991.0000000000177,2500,746,chr13,0,13
85.2,3989.6000000000163,2500,740,chr14,0,14
89.08,4224.199999999999,2500,546,chr15,0,15
26.279999999999998,772.9999999999975,2500,3686,chr16,0,16
65.52,2755.600000000042,2500,1724,chr17,0,17
57.76,2337.600000000051,2500,2112,chr18,0,18
55.60000000000001,2203.600000000064,2500,2220,chr19,0,19
63.32,2624.200000000055,2500,1834,chr20,0,20
84.88,3965.2000000000153,2500,756,chr21,0,21
85.56,4028.6000000000167,2500,722,chr22,0,22
58.879999999999995,2393.200000000054,2500,2056,chrX,0,X
