similarity,score,length,gaps,name,chromosome
56.08,2231.200000000068,2500,2196,chr1_0,1
70.28,3059.800000000064,2500,1486,chr2_0,2
55.96,2197.000000000055,2500,2202,chr3_0,3
64.64,2743.200000000084,2500,1768,chr4_0,4
62.96000000000001,2609.600000000067,2500,1852,chr5_0,5
59.64,2470.6000000000854,2500,2018,chr6_0,6
67.2,2930.4000000000815,2500,1640,chr7_0,7
54.400000000000006,2148.800000000059,2500,2280,chr8_0,8
71.67999999999999,3182.000000000067,2500,1416,chr9_0,9
51.160000000000004,1885.4000000000551,2500,2442,chr10_0,10
62.68,2535.800000000036,2500,1866,chr11_0,11
61.4,2563.800000000089,2500,1930,chr12_0,12
54.48,2149.200000000057,2500,2276,chr13_0,13
61.24000000000001,2339.000000000037,2500,1938,chr14_0,14
65.36,2794.0000000000837,2500,1732,chr15_0,15
60.480000000000004,2446.0000000000578,2500,1976,chr16_0,16
56.76,2343.8000000001107,2500,2162,chr17_0,17
70.39999999999999,3040.800000000051,2500,1480,chr18_0,18
52.16,2016.800000000075,2500,2392,chr19_0,19
51.480000000000004,1948.6000000000795,2500,2426,chr20_0,20
60.8,2508.000000000076,2500,1960,chr21_0,21
88.92,4278.599999999977,2500,554,chr22_0,22
49.519999999999996,1874.8000000000654,2500,2524,chrX_0,X
