similarity,score,length,gaps,name,cenp_b_box_detected,chromosome
55.00000000000001,89.8000000000001,100,90,chr1,0,1
65.0,108.60000000000002,100,70,chr2,0,2
89.0,170.60000000000005,100,22,chr3,0,3
60.0,100.00000000000003,100,80,chr4,0,4
59.0,94.60000000000008,100,82,chr5,0,5
60.0,98.4000000000001,100,80,chr6,0,6
74.0,131.60000000000008,100,52,chr7,0,7
63.0,105.40000000000006,100,74,chr8,0,8
47.0,69.39999999999995,100,106,chr9,0,9
85.0,159.40000000000006,100,30,chr10,0,10
60.0,99.20000000000007,100,80,chr11,0,11
56.00000000000001,90.40000000000003,100,88,chr12,0,12
82.0,151.60000000000005,100,36,chr13,0,13
89.0,171.00000000000003,100,22,chr14,0,14
83.0,152.6,100,34,chr15,0,15
78.0,142.0000000000001,100,44,chr16,0,16
92.0,176.4,100,16,chr17,0,17
23.0,24.200000000000017,100,154,chr18,0,18
61.0,100.60000000000011,100,78,chr19,0,19
78.0,139.20000000000002,100,44,chr20,0,20
82.0,150.80000000000004,100,36,chr21,0,21
85.0,158.60000000000005,100,30,chr22,0,22
51.0,74.2,100,98,chrX,0,X
