similarity,score,length,gaps,name,chromosome
56.32,2274.8000000000598,2500,2184,chr1_1000000,1
68.2,2769.8000000000247,2500,1590,chr2_1000000,2
65.84,2769.600000000045,2500,1708,chr3_1000000,3
45.36,1668.8000000000648,2500,2732,chr4_1000000,4
85.39999999999999,4053.800000000033,2500,730,chr5_1000000,5
63.92,2675.6000000000527,2500,1804,chr6_1000000,6
52.839999999999996,2018.600000000084,2500,2358,chr7_1000000,7
31.36,1042.800000000182,2500,3432,chr8_1000000,8
53.28000000000001,1933.6000000000633,2500,2336,chr9_1000000,9
36.04,1281.799999999963,2500,3198,chr10_1000000,10
24.6,678.1999999999922,2500,3770,chr11_1000000,11
63.75999999999999,2614.800000000043,2500,1812,chr12_1000000,12
95.19999999999999,4674.799999999994,2500,240,chr13_1000000,13
86.96000000000001,4103.600000000013,2500,652,chr14_1000000,14
83.91999999999999,3894.0000000000186,2500,804,chr15_1000000,15
59.64,2462.6000000000663,2500,2018,chr16_1000000,16
21.6,527.199999999986,2500,3920,chr17_1000000,17
50.28,1932.6000000000624,2500,2486,chr18_1000000,18
49.64,1887.8000000000607,2500,2518,chr19_1000000,19
58.28,2350.600000000054,2500,2086,chr20_1000000,20
62.92,2581.4000000000474,2500,1854,chr21_1000000,21
98.11999999999999,4860.200000000001,2500,94,chr22_1000000,22
65.4,2548.2000000000326,2500,1730,chrX_1000000,X
